current_path	target_path	owner	phase	classification	status	reason
packages/ios-app/Sources/App/Lifecycle/AppDelegate.swift	packages/ios-app/Sources/App/Lifecycle/AppDelegate.swift	ios support owner	HRA-12	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/App/Lifecycle/TronMobileApp.swift	packages/ios-app/Sources/App/Lifecycle/TronMobileApp.swift	ios support owner	HRA-12	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Live/AsyncEventStream.swift	packages/ios-app/Sources/Engine/Events/Live/AsyncEventStream.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Live/EventTypeRegistry.swift	packages/ios-app/Sources/Engine/Events/Live/EventTypeRegistry.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Payloads/CapabilityInvocationPayloads.swift	packages/ios-app/Sources/Engine/Events/Payloads/CapabilityInvocationPayloads.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Payloads/ConfigPayloads.swift	packages/ios-app/Sources/Engine/Events/Payloads/ConfigPayloads.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Payloads/ExtendedPayloads.swift	packages/ios-app/Sources/Engine/Events/Payloads/ExtendedPayloads.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Payloads/MessagePayloads.swift	packages/ios-app/Sources/Engine/Events/Payloads/MessagePayloads.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Payloads/SessionPayloads.swift	packages/ios-app/Sources/Engine/Events/Payloads/SessionPayloads.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Payloads/StreamingPayloads.swift	packages/ios-app/Sources/Engine/Events/Payloads/StreamingPayloads.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationCompletedPlugin.swift	packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationCompletedPlugin.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationGeneratingPlugin.swift	packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationGeneratingPlugin.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationOutputPlugin.swift	packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationOutputPlugin.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationProgressPlugin.swift	packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationProgressPlugin.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationStartedPlugin.swift	packages/ios-app/Sources/Engine/Events/Plugins/CapabilityInvocation/CapabilityInvocationStartedPlugin.swift	ios engine owner	HRA-9	retain_in_place	passed_after_fix	AHA-9 refreshed this current Swift ownership row after provenance cleanup.
